Tier;Wasser;Protein;Fette;Laktose;Rückstand
Pferd;90,1;2,6;1;6,9;0,35
Affen;88,4;2,2;2,7;6,4;0,18
Esel;90,3;1,7;1,4;6,2;0,4
Nilpferd;90,4;0,6;4,5;4,4;0,1
Kamel;87,7;3,5;3,4;4,8;0,71
Bison;86,9;4,8;1,7;5,7;0,9
Büffel;82,1;5,9;7,9;4,7;0,78
Meerschweinchen;81,9;7,4;7,2;2,7;0,85
Katze;81,6;10,1;6,3;4,4;0,75
Fuchs;81,6;6,6;5,9;4,9;0,93
Lama;86,5;3,9;3,2;5,6;0,8
Schwein;82,8;7,1;5,1;3,7;1,1
Zebra;86,2;3;4,8;5,3;0,7
Schaf;82;5,6;6,4;4,7;0,91
Hund;76,3;9,3;9,5;3;1,2
Elefant;70,7;3,6;17,6;5,6;0,63
Hase;71,3;12,3;13,1;1,9;2,3
Ratte;72,5;9,2;12,6;3,3;1,4
Hirsch;65,9;10,4;19,7;2,6;1,4
Rentier;64,8;10,7;20,3;2,5;1,4
Wal;64,8;11,1;21,2;1,6;0,85
Robben;46,4;9,7;42;0;0,85
Delfine;44,9;10,6;34,9;0,9;0,53
